상품명,부제목,도시명,정가,판매가,평점,리뷰수,상세링크,이미지URL
Lotte World Ticket in Seoul,,Seoul,HK$ 342,HK$ 193,★ 4.6,"(32,806)",https://www.klook.com/en-US/activity/251-lotte-world-seoul/,https://res.klook.com/image/upload/activities/xrjnvuuvvzajrakgobub.jpg
N Seoul Tower Observatory Ticket,,Seoul,HK$ 220,HK$ 197,★ 4.6,"(34,114)",https://www.klook.com/en-US/activity/412-n-seoul-tower-seoul/,https://res.klook.com/image/upload/activities/xui9hudopofmrcgtfasl.jpg
Nanta Show Ticket in Seoul,,Seoul,,HK$ 158,★ 4.8,"(13,557)",https://www.klook.com/en-US/activity/240-nanta-show-seoul/,https://res.klook.com/image/upload/activities/yo9kw4ewswi5cz2uoeib.jpg
Discover Seoul Pass,,Seoul,HK$ 250,HK$ 249,★ 4.7,"(10,175)",https://www.klook.com/en-US/activity/3819-discover-seoul-pass-seoul/,https://res.klook.com/image/upload/activities/uwsmv3ch9triebumlrjz.jpg
Colorize Personal Color Analysis Makeup in Myeongdong Seoul,,Seoul,,HK$ 699,★ 4.9,"(2,264)",https://www.klook.com/en-US/activity/133312-seoul-myeongdong-personal-color-analysis/,https://res.klook.com/image/upload/activities/cjnn8wd0fkizxaxdv8k4.jpg
Seoul Sky Lotte World Tower Ticket,,Seoul,HK$ 158,HK$ 115,★ 4.8,"(7,411)",https://www.klook.com/en-US/activity/17678-lotte-world-sky-admission/,https://res.klook.com/image/upload/activities/qsmmrhyozpyhhhnaedwz.jpg
Show Musical Wild Wild Ticket in Seoul,,Seoul,HK$ 347,HK$ 150,★ 4.9,"(2,153)",https://www.klook.com/en-US/activity/78871-show-wildwilddream-seoul/,https://res.klook.com/image/upload/activities/swtgvl7ei6yaf5xhgccz.jpg
Sleep No More Seoul Ticket,,Seoul,,HK$ 919,★ 4.9,(17),https://www.klook.com/en-US/activity/206566-sleep-no-more-seoul-ticket/,https://res.klook.com/image/upload/activities/uoe6ao3nlox4hfyg29bt.jpg
Seoul｜Gimpo International Airport Private Airport Transfer,,Seoul,,HK$ 303,★ 4.7,"(3,083)",https://www.klook.com/en-US/airport-transfers/?flightDirection=1&code=GMP,https://res.klook.com/image/upload/South_Korea_GMP_xyrhb2.png
OLIVE YOUNG e-Gift Card,,Seoul,,HK$ 26,★ 4.7,"(1,828)",https://www.klook.com/en-US/activity/126803-olive-young-cash-voucher/,https://res.klook.com/image/upload/activities/dbwfyotrqb9g8yyhakck.jpg
Hop Inn Seoul Myeongdong,,Seoul,HK$ 479.2,HK$ 446.7,★ 4.7,(8),https://www.klook.com/en-US/hotels/detail/2171248-hop-inn-seoul-myeongdong/,https://res.klook.com/image/upload/v1773874212/hotel/kdkgclft7asdtstujglu.jpg
SHOW MUSICAL TOUCH FIVE Ticket in Seoul,,Seoul,,HK$ 387,★ 4.8,(491),https://www.klook.com/en-US/activity/133623-show-musical-touch-five-ticket-in-seoul/,https://res.klook.com/image/upload/activities/erjhcrisr3o959ykcmq4.jpg
