순위,도서명,저자,출판사,출판일,정가,판매가,평점,리뷰수,상품코드,상세설명
1,클로드 코드로 시작하는 실전 에이전틱 코딩,Goos Kim,더 타이즈,2026-05-21,33000,29700,9.82,43,S000219929026,"바이브 코딩의 한계를 넘어! 완벽한 통제를 위한 하네스 엔지니어링 
초기 AI 코딩 방식인 '바이브 코딩'은 단순히 프롬프트에 의존하기 때문에 맥락 유실, 품질의 비결정성, 기존 코드 파괴라는 치명적인 한계를 지니고 있습니다. 이 책은 이러한 문제를 해결하기 위해 AI 모델을 완벽하게 통제하는 '하네스 엔지니어링(Harness Engineering)' 패러다임을 제시하며, 개발자의 역할을 단순 코더에서 여러 AI 에이전트를 지휘하는 '오케스트레이터'로 격상시킵니다. 1장부터 7장에 걸쳐 클로드 코드의 기본 사용법부터 스킬 시스템, 서브에이전트 오케스트레이션, 그리고 외부 도구 및 세계와 연결하는 MCP 통합까지 상세히 다루어, 당장 실무에 적용할 수 있는 나만의 가상 개발팀 구축의 기반을 탄탄하게 다져 줍니다.

압도적인 속도와 무결점 품질! MoAI-ADK와 소프트웨어 공학의 결합 
AI가 작성한 코드의 품질과 보안을 어떻게 보장할 수 있을까요? 이 책은 MoAI를 직접 설계하고 커뮤니티에 기여해 온 '국내 최고의 바이브 코더'인 저자가 쓴 실전 가이드입니다. 저자가 직접 공개한 오픈소스 프레임워크 'MoAI-ADK'를 중심으로 명세 기반 개발(SDD), TDD 및 DDD(이진 방법론) 그리고 TRUST-5 품질 게이트를 'plan-run-sync'라는 단일 자동화 파이프라인으로 엮어내는 방법을 다룹니다. 8장과 9장에서 다루는 이 체계적인 워크플로는 AI가 스스로 테스트를 먼저 작성하고 오류를 교정하도록 만들어, 기술 부채를 방지하고 유지보수성을 극대화합니다.

나만의 가상 개발팀 풀가동! 실전 프로젝트로 완성하는 에이전틱 코딩 
에이전틱 코딩의 진가는 실제 프로젝트를 완성하는 과정에서 발휘됩니다. 10장 실전 실습에서는 앞서 배운 파이프라인을 바탕으로 '모던 스네이크 게임'을 밑바닥부터 직접 개발합니다. 프로젝트 초기화부터 EARS 기반의 스펙 문서 작성, TDD 방법론에 맞춘 점진적 구현, 그리고 자동화된 문서 동기화와 버그 수정 루프까지 에이전틱 코딩의 모든 과정을 생생하게 재현합니다. 나아가 여러 전문 에이전트가 깃 작업 트리 상에서 병렬로 협업하는 에이전트 팀 구조를 실습하며 작업 생산성을 비약적으로 높이는 비결을 몸소 체감할 수 있습니다. 
생산성의 한계를 깨고 싶은 개발자는 물론 아이디어를 직접 소프트웨어로 구현하고 싶은 사람까지 이 책을 통해 결과물의 격을 바꾸는 에이전틱 코딩의 정석을 마스터해 보세요.

하네스 엔지니어링으로 엔터프라이즈급 자율 개발팀 구축! 
스펙(Spec) 기반 설계와 100만 토큰 제어로 무결점 코딩의 뼈대를 세우고 스킬(Skills), 훅(Hooks), MCP를 연결해 나만의 워크플로를 자동화하며 서브에이전트부터 병렬 협업을 위한 에이전트 팀까지 완벽하게 지휘하라."
2,하네스 엔지니어링 with 클로드 코드,황민호,한빛미디어,2026-06-11,30000,27000,0.0,0,S000220048885,"AI 에이전트를 도구로 쓰는 단계를 넘어, 스스로 일하는 에이전트 팀을 직접 설계하고 운영하는 방법인 하네스 엔지니어링을 체계적으로 정리한 최초의 실전서다. 이 책의 저자이자, 카카오 FDE팀의  황민호(로빈 황) 수석이 공개한 하네스 관련 오픈소스 자료는 깃허브에서 3천 개 이상의 별(star)을 받으며 이미 개발자 커뮤니티의 주목을 받은 바 있다.
하네스란 모델의 가중치를 건드리지 않고, 모델 바깥에 권한·도구·검증·관측을 설계해 에이전트가 혼자 움직이게 만드는 환경이다. 단일 에이전트의 구조적 한계부터, 에이전트 · 스킬 · 오케스트레이터라는 하네스 세 기둥의 설계 원칙, 스킬이 스킬을 만드는 메타스킬과 여섯 가지 아키텍처 패턴, 코드 리뷰·풀스택 구현·레거시 마이그레이션·디버깅 팀의 실전 사례까지 마크다운 파일을 직접 만들어 보며 익힐 수 있도록 설계되었다. 프롬프트 엔지니어링이나 모델 내부 지식 없이도, git과 마크다운 파일만 다룰 수 있다면 충분하다."
3,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인",차진우,골든래빗(주),2026-05-20,28000,25200,10.0,6,S000219916961,"""나도 똑똑한 AI 비서 하나 있었으면 좋겠다""라고 누구나 한 번쯤 생각해봤을 겁니다. 그렇다면 수많은 AI 중에서 어떤 것을 선택해야 할까요? 챗GPT나 제미나이도 훌륭하지만, 진짜 내 일을 믿고 맡길 완벽한 업무 파트너를 원한다면 정답은 단연 ‘클로드’입니다.
챗GPT는 범용성이 강점이고, 제미나이는 구글 서비스 연동에 특화되어 있습니다. 하지만 실제 업무에서 AI에게 긴 문서를 맡기고, 복잡한 지시를 정확하게 처리하고, 외부 도구와 연결해 스스로 일을 완성하는 에이전트 능력이 필요하다면 클로드가 가장 적합한 선택입니다. 최대 100만 토큰에 달하는 방대한 문서를 한 번에 처리하고, 코딩 분야에서 최상위권 성능을 인정받으며, 아무리 긴 대화도 처음과 끝을 일관되게 이어가는 실력. 이것이 바로 수많은 직장인과 전문가가 클로드를 업무용 AI로 선택하는 이유입니다.
이 책은 인공지능에 대해 아무것도 모르는 생초보를 위해 쓰였습니다. 단순히 대화만 나누는 챗봇을 넘어, 내 컴퓨터 안에서 진짜 사람처럼 나의 일을 대신해 주는 똑똑한 클로드를 활용하는 방법을 가장 친절하게 안내합니다. 이 책 한 권이면 일상과 업무의 스트레스를 확 줄여줄 클로드의 네 가지 핵심 기능을 완벽하게 마스터할 수 있습니다.
__코워크 : 클로드가 내 컴퓨터 폴더에 직접 접근해 파일을 읽고 처리하는 기능입니다. 흩어진 PDF를 하나로 합치거나, 한글 문서 서식을 일괄 변경하거나, 매일 아침 업무 리포트를 자동으로 완성하는 등 손이 많이 가는 반복 작업을 클로드가 대신합니다.
__스킬 : 클로드에게 업무 방식을 가르치는 기능입니다. 회의록 정리, 수익성 분석, 뉴스 브리핑 등 자주 하는 복잡한 업무를 한 번만 등록해두면 매번 설명하지 않아도 언제든 일관된 결과물을 만들어냅니다.
__클로드 코드 : 코딩을 몰라도 나만의 프로그램을 만들 수 있는 기능입니다. ""집중력 타이머 만들어줘"", ""번역기 만들어줘""처럼 원하는 것을 말로 설명하면 클로드가 스스로 코드를 작성하고 실행해 실제로 작동하는 웹 프로그램을 완성해줍니다.
__디자인 : 디자인 경험이 전혀 없어도 전문가 수준의 시각 자료를 만드는 기능입니다. ""발표용 PPT 5장 만들어줘""라고 말하면 브랜드 분위기에 맞는 세련된 슬라이드가 완성되고, 홈페이지와 홍보 동영상 제작까지 가능합니다."
4,이게 되네? 제미나이 완전 미친 활용법 81제,오힘찬,골든래빗(주),2026-02-10,24000,21600,9.66,45,S000219142807,"★ AI 활용 5만 권 판매 베스트셀러 저자 오힘찬의 완전히 새로운 신간!
★ “메일 작성하기” 같은 시시한 거 싹 치우고 “AI 영상 만들기” 같은 더 미친 예제를 담아
★ 구글 AI 혁명의 중심, 〈제미나이〉가 〈나노바나나〉, 〈노트북LM〉, 〈오팔〉과 통합되어 더 강력하게 나타났다!
★ 최신 기능으로! 하루 8시간 업무를 1시간으로 줄이는 81가지 초효율 업무 자동화!
2025년 12월 구글은 제미나이 3.5(Gemini 3.5)를 발표하면서 다양한 기능의 변화를 공개했습니다. 이제 제미나이 3.5는 우리 곁의 유능하고 능동적인 업무 파트너로 완전히 진화했습니다. 이 책에 현존 최강 제미나이의 최신 변화를 온전히 담아 더욱 유용하게 활용할 수 있도록 안내합니다.

이 책은 제미나이의 최신 기술력을 완벽하게 해부합니다. 100만 토큰이라는 방대한 데이터를 한 번에 처리하는 제미나이 3 프로의 성능은 물론, 2025년 연말 업데이트를 통해 탑재된 제미나이 3.5의 비약적인 추론 능력과 실시간 세상 인식 기능을 전격 공개합니다. 사용자의 지시를 받아 스스로 심층 조사를 수행하고 전문적인 보고서까지 완성해내는 ‘딥 리서치’, 그리고 코딩 기술이 전혀 없어도 누구나 자신만의 맞춤형 AI 앱을 구축할 수 있게 해주는 ‘오팔(Opal)’에 이르기까지, 상상 속에만 존재하던 기능들이 실제 서비스로 구현된 현장을 생생하게 담아냈습니다.
이제 단순한 문답의 시대는 끝났습니다. 이 책은 구글 워크스페이스와 긴밀하게 결합하여 이메일을 작성하고 문서를 분석하는 실무 자동화의 정석을 보여줄 뿐만 아니라, 노트북LM을 활용해 300편이 넘는 논문을 단숨에 분석하는 놀라운 경험을 선사합니다. 또한 연말에 새롭게 강화된 나노 바나나(Nano Banana)와 플로우(Flow)의 연동 기능을 통해, 텍스트 한 줄만으로 전문가 수준의 숏폼 영상과 이미지를 생성하는 초격차 생산성의 세계로 독자들을 안내합니다.
《이게 되네? 제미나이 완전 미친 활용법 81제》는 전작의 예제를 넘어 2025년 연말까지의 최신 기술 트렌드를 완벽히 반영한 81개의 실전 레시피로 새롭게 태어났습니다. 특히 인간의 눈처럼 세상을 실시간으로 인식하고 소통하는 멀티모달 라이브 활용법은 여러분의 업무 방식을 송두리째 바꿀 것입니다. 일상과 업무의 프로세스를 근본적으로 뒤바꿀 AI 시대의 초효율, 이제 5만 베스트셀러 오힘찬 저자가 선사하는 이 책 한 권을 통해 질문하는 수준을 넘어 AI에게 지시하고 결과를 누리는 진정한 주인공이 되어 보시기 바랍니다."
5,"조코딩의 바이브 코딩 1인 창업 with 클로드 코드, 수파베이스, 스트라이프",조동근,한빛미디어,2026-05-25,30000,27000,9.17,3,S000220054039,"AI 기술의 급속한 발전은 1인 창업가에게 전례 없는 기회를 열어 주고 있습니다. 샘 올트먼이 예고한 ‘1인 유니콘 시대’, 즉 단 한 사람이 AI를 활용해 기업 가치 10억 달러 이상의 회사를 만들 수 있는 시대가 되었습니다. 코딩, 디자인, 마케팅 등 모든 분야의 경계를 허무는 AI와 함께라면, 이제 누구나 아이디어만으로 고객에게 가치 있고 가격을 지불할 만한 제품을 만들 수 있습니다. 이 책은 단순히 AI 사용법을 알려 주지 않습니다. 가치 있는 아이디어를 기획하고, 아이디어가 서비스가 되고, 서비스가 수익이 되는 모든 과정을 샅샅이 살펴봅니다. 여기서 나아가 단발성 광고 수익이 아닌, 주기적 매출을 만드는 글로벌 구독형 서비스로 재탄생시키는 모든 단계를 생생하게 알려드립니다."
6,2026 이지패스 ADsP 데이터분석 준전문가,박현민 외,위키북스,2026-01-02,30000,27000,9.9,295,S000218736039,"<b>미어캣 2026 최신 기출문제 수록 앱 제공 | 비전공자 20일 완성</b>

◎ 빠르고 효율적인 공부를 위한 ADsP 수험서
방대한 데이터 분석 콘텐츠를 ADsP 출제 경향에 맞게 핵심적으로 간결하게 정리하여 시간에 쫓기는 수험생들에게 최대한 공부 효율을 높일 수 있도록 구성했습니다.

◎ 초심자, 비전공자들을 위해 이해하기 쉽게 풀어 쓴 ADsP 수험서
데이터 분석을 처음 접하는 초심자나 비전공자들이 이해하기 쉽도록 용어와 문장을 다듬었습니다. 아울러 초심자 비전공자를 위한 ‘EASY BOX’, 출제 경향과 중요도를 안내하는 ‘TIP-BOX’, 풍부한 설명을 담은 ‘참고-BOX’와 그래프, 표 등을 활용하여 이해하기 쉽도록 구성했습니다. 

◎ 풍부한 R 실습 예제로 충분히 이해할 수 있도록 구성
R을 활용한 분석 실습 예제로 실제 적용 과정을 이해할 수 있어, 무작정 외우는 공부가 아닌 이해하는 공부가 될 수 있도록 구성했습니다. 

◎ 총 1,904문항에 달하는 압도적인 문제편
각 절마다 등장하는 핵심문제, 기출유형문제, 예상문제, 모의고사 3회분, 기출변형문제 3회분 앱에 수록된 기출문제 등 총 1,904문항에 달하는 방대한 문제를 수록하여 문제를 통한 반복 훈련에 부족함이 없도록 구성했습니다. 



◎ 유튜브 무료 강의(핵심 요약 벼락치기 특강) 제공
중요한 핵심 개념을 총정리 할 수 있는 ‘핵심 요약 강의’와 ‘기출문제 풀이’ 강의를 제공합니다. 교재와 함께 활용한다면 효율적인 학습을 할 수 있을 것입니다.

◎ 자투리 시간 활용을 위한 수험용 앱 제공
자투리 시간을 활용해 틈틈이 학습할 수 있는 수험용 앱을 제공합니다. 수험용 앱에서는 총 31회차의 모의고사 및 기출문제를 수록하고 있으며, 자동으로 채점해주는 기능과 오답노트 기능이 있어 효율적으로 학습할 수 있습니다.

◎ 독자의 궁금증을 해결해주는 Q&A 커뮤니티 운영
저자가 직접 답변해주는 Q&A 게시판과 온라인 스터디가 진행되는 커뮤니티를 운영합니다. 궁금한 점을 해결하고, 책에 수록되지 않은 정보와 최신 자료를 얻을 수 있습니다. 

★ 이 책에서 다루는 내용 ★
◎ 1과목 〈데이터 이해〉 - 데이터의 이해, 데이터의 가치와 미래, 가치 창조를 위한 데이터 사이언스와 전략 인사이트
◎ 2과목 〈데이터 분석 기획〉 - 데이터 분석 기획의 이해, 분석 마스터플랜
◎ 3과목 〈데이터 분석〉 - R 기초와 데이터 마트, 통계 분석, 정형 데이터 마이닝"
7,바로바로 제미나이 X 구글 AI,공냥이,골든래빗(주),2026-06-01,24000,21600,10.0,2,S000219916946,"오늘날 구글은 더 이상 단순한 검색 엔진 서비스가 아닙니다. 구글 독스·지메일·스프레드시트 같은 워크스페이스 도구에는 제미나이가 깊숙이 녹아들었고, 노트북LM은 수많은 문서와 자료를 한데 모아 대화로 답해주는 개인 AI 비서가 되었습니다. 이미지는 나노 바나나 2로 문장 하나만 입력하면 뚝딱 완성되며, 영상 제작은 구글의 고성능 생성 모델인 Veo 3.1이 그 과정을 돕습니다. 또한, 제미나이는 구글 워크스페이스 안에서 문서 작업 시 실시간으로 내용을 수정하고 제안하는 인터랙티브 파트너 역할을 하며, 구글 AI 스튜디오에서는 코딩 지식이 없어도 대화만으로 웹 화면을 설계하는 ‘바이브 코딩’을 경험할 수 있습니다. 나아가 이 모든 반복 업무는 제미나이의 워크플로 자동화 기능을 통해 효율적으로 처리됩니다. 구글이라는 거대한 생태계 안에 이 모든 혁신이 이미 들어와 있습니다.
이 책은 구글의 다양한 서비스를 처음 접하는 분들을 위해 기획되었습니다. 구글 계정 생성부터 워크스페이스의 기초를 다지는 것은 물론, 제미나이, 캔버스, 딥 리서치, 노트북LM, 나노 바나나 2와 스티치, 오팔 등 핵심 AI 도구를 직접 따라 하며 손에 익히도록 구성했습니다. 단순히 기능만 나열하지 않고 ‘지메일에서 제미나이로 초안을 잡고, 노트북LM으로 배경 자료를 요약하며, 워크플로 자동화로 업무를 마무리하는’ 실전 시나리오를 통해 도구 간의 유기적인 연결 흐름을 보여줍니다. 장을 넘길 때마다 도구들이 어떻게 서로 맞물려 돌아가는지 자연스럽게 그려질 것입니다.
책을 시작할 때는 간단한 이메일 작성으로 출발하지만, 마지막 장을 덮을 즈음에는 구글 생태계가 여러분의 업무 프로세스에 완벽히 녹아든 자동화 환경을 경험하게 됩니다. “AI를 써보고 싶지만 어디서부터 시작해야 할지 막막하다”고 느끼셨다면, 이 책이 그 첫 문을 열어드립니다. 혹시 구글 캘린더나 스프레드시트를 쓰면서 “이 작업들을 알아서 연결하고 처리해주는 방법은 없을까?”라며 답답함을 느낀 적은 없나요? 챗GPT만으로는 해결하기 힘든, 철저히 내 업무 환경에 최적화된 AI 비서가 필요하다면 이 책이 명쾌한 해답이 되어줄 것입니다."
8,일 잘하는 직장인의 AI 활용법,김덕중 외,디지털북스,2026-06-01,22000,19800,10.0,4,S000220000024,"AI 툴을 써봤지만, 달라진 게 없다면, 그건 도구의 문제가 아닙니다. 《일 잘하는 직장인의 AI 활용법》은 왜 같은 AI를 써도 어떤 사람의 하루는 바뀌고, 어떤 사람의 하루는 그대로인지를 분석합니다. 그리고 그 차이를 만드는 핵심, ‘업무 구조 설계’를 직장인의 실제 업무 영역별로 나누어 설명합니다.
 기획·자료 조사·문서 작성·디자인·영상 제작·업무 자동화·바이브 코딩까지. 직장인이 익숙하게 마주하는 업무들의 흐름을 그대로 따라가며, 각 영역에서 사람이 반드시 해야 할 일과 AI에게 넘겨야 할 일을 명확하게 제시합니다. 더 열심히 하라는 말이 아닙니다. 지금 하고 있는 일을 다르게 볼 수 있도록 AI를 통한 식견을 제시합니다.
 다른 AI 활용서와 구별되는 건 하나입니다. 특정 툴의 사용법을 알려주는 것이 아니라, 어떤 툴이 등장하더라도 적용할 수 있는 ‘업무 재설계 사고방식’을 전달하는 것입니다. 프롬프트 예제나 서비스 사용법은 빠르게 낡습니다. 하지만 무엇을 사람이 하고, 무엇을 AI에게 넘길 것인지 판단하는 능력은 기술이 바뀌어도 그대로입니다.
 AI 도입 여부를 고민하는 단계는 이미 지났습니다. 일을 어떻게 설계할 것인가. 이 책은 그 설계를 지금 당장 시작할 수 있는 가장 현실적인 출발점이 되어 줄 것입니다."
9,혼자 공부하는 바이브 코딩 with 클로드 코드,조태호,한빛미디어,2025-12-16,30000,27000,9.31,56,S000218728879,"매일 반복되는 일을 AI에게 맡길 수 있다면 어떨까?
AI가 코드를 대신 쓰는 시대, 이제 코딩은 ‘배워야 하는 기술’에서 ‘활용하면 더 유용한 도구’가 되었다. 이 책은 그 변화의 한가운데에서 탄생한 〈혼자 공부하는〉 시리즈 최초의 AI 기반 코딩 입문서이다.
프로그래밍을 전혀 모르는 독자라도 책의 흐름대로 따라 하기만 하면 실제로 동작하는 웹 앱을 자신의 손으로 만들어내는 경험을 하게 된다. 설치부터 실습, 오류 해결, 배포까지 이어지는 완성형 워크플로가 담겨 있어, ‘처음 만들기’의 장벽을 낮추고 ‘끝까지 완주하기’라는 성취감을 자연스럽게 이끌어낸다.
특히 이 책은 단순히 프롬프트를 복사해 붙여 넣는 방식에 그치지 않는다. 왜 이런 결과가 나오는지, 어떤 구조로 앱이 작동하는지, 어떻게 응용해야 나만의 결과물을 만들 수 있는지를 기초 원리부터 친절하게 설명한다. 덕분에 독자는 도구 사용법을 넘어 AI를 활용해 문제를 해결하는 사고방식을 익힐 수 있다.
저자는 이 책을 두고  “AI 시대, 인류의 마지막 코딩 책이 될지도 모른다”고 말한다.
앞으로 우리가 배워야 할 것은  코드를 암기하는 법이 아니라, AI와 정확하게 협업하는 능력이기 때문이다. AI와 함께 설계·구현·배포까지 해내는 진짜 코딩 경험을 시작해 보자!"
10,2026 이기적 컴퓨터활용능력 2급 필기+실기 올인원,홍태성 외,영진닷컴,2025-08-22,29000,26100,9.65,53,S000217187013,"﻿필기와 실기를 하나의 도서로 합쳐 컴퓨터활용능력 2급 필기 시험에 한 번에 합격할 수 있도록 준비한 〈이기적 컴퓨터활용능력 2급 필기+실기 올인원〉 도서가 출간되었습니다. 컴퓨터에 대한 기본적인 이해도가 있다면 합본 도서로 간편하고 빠르게 필기 실기 모두 합격하세요! 
필기는 대표적인 기출문제를 40선 엄선하였고, 핵심 암기 노트에는 실제 출제된 지문으로 암기할 핵심을 정리했습니다. 또한 최신 상시 기출문제를 10회 복원하여 해설과 함께/따로 풀어볼 수 있도록 준비하였습니다. 동영상 강의는 QR을 통해 간편하게 무료 시청 가능합니다.
실기는 출제기준을 분석, 반영하여 다양한 유형의 문제를 풀어 볼 수 있고, 계산작업 문제 10회를 따로 구성하여 수험생들이 어려워하는 함수에 대비할 수 있도록 했습니다. 또한 상시 공략 문제 10회로 기출 문제를 풀어볼 수 있도록 하였습니다."
