상품명,정상가,판매가,할인율,상품상세링크,이미지링크,수집일시
썸머 바캉스 슈즈  최저가 도전! 슈즈MD 추천제안,223928,94050,58%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000788996603&siteNo=6009&salestrNo=1002&advertBidId=1020471223&advertExtensTeryDivCd=10,https://sitem.ssgcdn.com/03/66/99/spclprc/1000788996603_sp.jpg,2026-06-14 12:03:12
플리츠특가전~UP TO 67%,56050,44840,20%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000541629220&siteNo=6009&salestrNo=1002&advertBidId=1020471485&advertExtensTeryDivCd=10,https://sitem.ssgcdn.com/20/92/62/spclprc/1000541629220_sp.jpg,2026-06-14 12:03:12
패션 BEST 50 ~67%할인,15900,14310,10%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000731836857&siteNo=6300&salestrNo=6005&advertBidId=1020471547&advertExtensTeryDivCd=10,https://sitem.ssgcdn.com/57/68/83/spclprc/1000731836857_sp.jpg,2026-06-14 12:03:12
본격 여름 오픈 SALE! UP TO 89%,29000,20880,28%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000641521485&siteNo=6004&salestrNo=6005&advertBidId=1020471568&advertExtensTeryDivCd=10,https://sitem.ssgcdn.com/85/14/52/spclprc/1000641521485_sp.jpg,2026-06-14 12:03:12
[신세계TV쇼핑] 지금 입기 좋은 패션 제안! 에디티드 外,29000,26100,10%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000780800559&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/59/05/80/spclprc/1000780800559_sp.jpg,2026-06-14 12:03:12
썸머 바캉스 슈즈  최저가 도전! 슈즈MD 추천제안,223928,94050,58%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000784168031&siteNo=6009&salestrNo=1002,https://sitem.ssgcdn.com/31/80/16/spclprc/1000784168031_sp.jpg,2026-06-14 12:03:12
쓱썸페! 여름 단독 SALE 최대 70%OFF +다운로드 쿠폰,78976,51335,35%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000038488527&siteNo=6009&salestrNo=1002,https://sitem.ssgcdn.com/27/85/48/spclprc/1000038488527_sp.jpg,2026-06-14 12:03:12
스위스 기술력으로 탄생한 독보적 명품 킥보드!,265000,251750,5%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000070864551&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/51/45/86/spclprc/1000070864551_sp.jpg,2026-06-14 12:03:12
인기 세제/섬유유연제/주방세제 특가,40200,35778,11%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000827442174&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/74/21/44/spclprc/1000827442174_sp.jpg,2026-06-14 12:03:12
"벗고 싶지 않은 편안함 르무통 발편한 메리노울 운동화, 플랫",119900,119900,,https://www.ssg.com/item/dealItemView.ssg?itemId=1000616111568&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/68/15/11/spclprc/1000616111568_sp.jpg,2026-06-14 12:03:12
[나이키코리아공식] 나이키 BEST 아이템 50종 최대 50% 특가모음,68172,34086,50%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000575274267&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/67/42/27/spclprc/1000575274267_sp.jpg,2026-06-14 12:03:12
베스트 토퍼/매트리스/침대 특가전,775734,496470,36%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000833070708&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/08/07/07/spclprc/1000833070708_sp.jpg,2026-06-14 12:03:12
"내맘대로 구이세트 골라담기 (1++/1등급 등심,안창,살치,꽃갈비,채끝,안심)",79800,39900,50%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000608423798&siteNo=6004&salestrNo=6005&advertBidId=1020470978&advertExtensTeryDivCd=10,https://sitem.ssgcdn.com/98/37/42/spclprc/1000608423798_sp.jpg,2026-06-14 12:03:12
여성 SALE,147000,147000,,https://www.ssg.com/item/dealItemView.ssg?itemId=1000036750397&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/97/03/75/spclprc/1000036750397_sp.jpg,2026-06-14 12:03:12
BEST 거실&주방가구 모음전,635227,559000,12%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000374664346&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/46/43/66/spclprc/1000374664346_sp.jpg,2026-06-14 12:03:12
[삼성 감사 페스티벌]삼성전자 창문형 에어컨 연장키트는 여기서! 길이에 맞는 상품 구매하기!!,1109876,899000,19%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000555671573&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/73/15/67/spclprc/1000555671573_sp.jpg,2026-06-14 12:03:12
"[1만원상품권]포티샤 슈퍼볼륨 샴푸 500ml 트리오(+트래블파우치,포티샤마스크500ml,랜덤40mlX3)",171000,130815,23%,https://www.ssg.com/item/itemView.ssg?itemId=1000829223437&siteNo=6009&salestrNo=1004,https://sitem.ssgcdn.com/37/34/22/spclprc/1000829223437_sp.jpg,2026-06-14 12:03:12
"[New Performance] 테크노카오스 2000 [HQ7289,KI4225,KI4226]",59400,48976,17%,https://www.ssg.com/item/itemView.ssg?itemId=1000822859456&siteNo=6009&salestrNo=1024,https://sitem.ssgcdn.com/56/94/85/spclprc/1000822859456_sp.jpg,2026-06-14 12:03:12
[럭키박스] 세안 바디 헤어 7종 세트 (본품6+증정),57000,19200,66%,https://www.ssg.com/item/itemView.ssg?itemId=1000686585821&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/21/58/58/spclprc/1000686585821_sp.jpg,2026-06-14 12:03:12
