매장명,시도명,구군명,시도코드,구군코드,주소,전화번호,위도,매장코드,관리코드,오픈일자,테마매장여부
역삼아레나빌딩,서울,강남구,01,0101,서울특별시 강남구 역삼동 721-13 아레나빌딩,1522-3232,37.501087,0,1509,20190613,Z9999@T05@T08@T16@T17@T20@T21@T30@@@T36@T43@T56@T57@T64@T65@T69@T71@P80@P90
논현역사거리,서울,강남구,01,0101,서울특별시 강남구 논현동 142-2 정일빌딩,1522-3232,37.510178,0,1434,20181123,Z9999@T05@T08@T16@T17@T20@T21@T22@T30@T36@@T56@T57@T64@T65@T69@P70@P80@P90
신사역성일빌딩,서울,강남구,01,0101,서울특별시 강남구 논현동 18-4 성일빌딩,1522-3232,37.5139309,0,1595,20191219,Z9999@T05@T08@T16@T17@T20@T21@T30@T34@@@@T56@T57@T64@T65@T68@T69@T73@P80@P90
국기원사거리,서울,강남구,01,0101,서울특별시 강남구 역삼동 648-22 동찬빌딩,1522-3232,37.499517,0,1527,20190731,Z9999@T05@T08@T16@T17@T20@T21@T30@T34@@T36@@T56@T57@T64@T65@T69@P70@P90
대치재경빌딩,서울,강남구,01,0101,서울특별시 강남구 대치동 599 대원빌딩,1522-3232,37.494668,0,1468,20190214,Z9999@@T05@T08@T16@T17@T20@T21@T22@@@T30@@@T43@T56@T57@T64@T65@T69@T71@P90
봉은사역,서울,강남구,01,0101,서울특별시 강남구 삼성동 108-6 JBK TOWER 빌딩,1522-3232,37.515,0,1640,20200528,Z9999@T05@T08@T16@T17@T20@T21@T30@T34@@T43@T56@T57@T64@T65@T69@T71@P80@P90
압구정윤성빌딩,서울,강남구,01,0101,서울특별시 강남구 신사동 592 윤성빌딩,1522-3232,37.5227934,0,1650,20200529,Z9999@T05@T08@T16@T17@T20@T21@T30@T34@@@T36@T56@T57@T64@T65@T69@P70@P80@P90
코엑스별마당,서울,강남구,01,0101,서울특별시 강남구 삼성동 159 코엑스,1522-3232,37.510150,0,1626,20200416,Z9999@T05@T08@T16@T17@T20@T30@T34@@T36@T56@T57@T65@T69@P40@P80@P90@T09
삼성역섬유센터R,서울,강남구,01,0101,서울특별시 강남구 대치동 944-31 한국섬유산업연합회,1522-3232,37.507750,0,1438,20181123,Z9999@T03@T05@T08@T16@T17@T20@@T26@T29@T30@@T34@@T36@@T42@T56@T57@T64@T65@T69@P80@P90
압구정R,서울,강남구,01,0101,서울특별시 강남구 신사동 621-1,1522-3232,37.5273669,0,1411,20180831,Z9999@T03@T05@T08@T16@T17@T20@T21@@T26@T29@T30@@@@@T37@T39@T41@T42@T56@T57@T64@T65@T69@P90@T09
수서역R,서울,강남구,01,0101,서울특별시 강남구 수서동 715 수서빌딩,1522-3232,37.48803134754136,0,1389,20180627,Z9999@T03@T05@T08@T16@T17@T20@T21@@T26@T29@T30@T36@@T37@T39@T41@T42@T56@T57@T64@T65@T69@P60@P80@P90@T09
양재강남빌딩R,서울,강남구,01,0101,서울특별시 강남구 도곡동 956 LG전자 강남R&D센터,1522-3232,37.485192,0,1404,20180824,Z9999@T03@T05@T08@T16@T17@T20@T21@T26@T29@T30@@T37@T39@T41@T42@T56@T57@T64@T65@T69@P80@P90@T09
선릉동신빌딩R,서울,강남구,01,0101,서울특별시 강남구 삼성동 141-28 동신빌딩,1522-3232,37.505321,0,1355,20180330,Z9999@T03@T05@T08@T16@T17@T20@T26@T29@T30@T36@@@@T42@T56@T57@T64@T65@T69@P80
봉은사로선정릉,서울,강남구,01,0101,서울특별시 강남구 삼성동 114-9 올림푸스타워,1522-3232,37.51131683405367,0,1348,20180306,Z9999@T05@T08@T16@T17@T20@T21@T30@@@T36@@T43@T56@T57@T64@T65@T69@T71@P80@P90
강남오거리,서울,강남구,01,0101,"서울특별시 강남구 역삼동 813-17 1,2,3층",1522-3232,37.502117,0,1255,20170818,Z9999@T05@T08@T16@T17@T20@T21@T22@T30@@T36@T43@T56@T57@T65@T69@T71
스타필드코엑스몰R,서울,강남구,01,0101,서울특별시 강남구 삼성동 159 코엑스  A106호,1522-3232,37.50999,0,1211,20170502,Z9999@T03@T05@T08@T16@T17@T20@@T26@T29@T30@@T34@@@@T41@T42@T56@T57@T64@T65@T69@P40@P80@P90@T09
강남구청정문,서울,강남구,01,0101,서울특별시 강남구 청담동 44-12 대륭빌딩,1522-3232,37.51827133155829,0,1188,20170323,Z9999@T05@T08@T16@T17@T20@T21@T30@@@@T43@T56@T57@T65@T69@T71@T09
도곡공원,서울,강남구,01,0101,서울특별시 강남구 역삼동 788-10,1522-3232,37.492805,0,1263,20170825,Z9999@T05@@T08@T16@T17@T20@T21@T30@@@T43@T56@T57@T64@T65@T69@T71@T09
강남R,서울,강남구,01,0101,서울특별시 강남구 역삼동 825 미진프라자 1층 101호,1522-3232,37.497711,0,1258,20170816,Z9999@T03@T05@T08@T16@T17@T20@T21@T26@T29@T30@@@T37@T39@T41@T42@T56@T57@T64@T65@T69@P80@P90
대치은마사거리,서울,강남구,01,0101,서울특별시 강남구 대치동 941-19 진흥빌딩,1522-3232,37.498973,0,1099,20160812,Z9999@T05@T08@T16@T17@T20@T21@T30@T34@@T36@@T43@T56@T57@T64@T65@T69@T71@P80
